"Paper";"Device";"Rating";"Serration Param";"Brush Param";"Airfoils";"Method";"Focus";"Num method";"Exp method";"Re";"Ma";"AoA";"Chord";"Span";"Reduction";"Findings"
"Howe1990";"Serrations";"****";;;"Flat plate";"Analytical";"Green's function";;;;;"0,0";;;"-10 dB";
"Dassen1996";"Serrations";"****";"10:1";;"NACA 0012 & NACA 63018 & NACA 63618 & NACA 4418";"Experimental";"Serration parameters";;"Wind tunnel";"[700000 -1400000]";"0,12 & 0,18 & 0,22";;"0,25";"0,51";"-5 dB";"No U dependency for serration reduction"
"Dassen1996";"Serrations";"****";"10:1 Incident";;"NACA 0012 & NACA 63018 & NACA 63618 & NACA 4418";"Experimental";"Serration parameters";;"Wind tunnel";"[700000 -1400000]";"0,12 & 0,18 & 0,22";;"0,25";"0,51";"+5 dB";"No U dependency for serration reduction"
"Dassen1996";"Serrations";"****";"10:1 Angled TE, straight teeth";;"NACA 0012 & NACA 63018 & NACA 63618 & NACA 4418";"Experimental";"Serration parameters";;"Wind tunnel";"[700000 -1400000]";"0,12 & 0,18 & 0,22";;"0,25";"0,51";"-3 dB";"No U dependency for serration reduction"
"Dassen1996";"Serrations";"****";"10:1 Angled teeth";;"NACA 0012 & NACA 63018 & NACA 63618 & NACA 4418";"Experimental";"Serration parameters";;"Wind tunnel";"[700000 -1400000]";"0,12 & 0,18 & 0,22";;"0,25";"0,51";"-3 dB";"No U dependency for serration reduction"
"Dassen1996";"Serrations";"****";"10:1 Angled airfoil, straight teeth";;"NACA 0012 & NACA 63018 & NACA 63618 & NACA 4418";"Experimental";"Serration parameters";;"Wind tunnel";"[700000 -1400000]";"0,12 & 0,18 & 0,22";;"0,25";"0,51";"-3 dB";"No U dependency for serration reduction"
"Oberai2002";;"***";;;"Eppler387";"Numerical";"CAA benchmark";"LES& Curle& FW-H";;;;"0,0";;;;
"Kato2005";;"**";;;"NACA 0012";"Numerical";"CAA benchmark";"LES& Curle ";;200000;;"9,0";"1,0";"0,5";;
"Herr2007";"Brushes";"*****";;"Polypropilene & steel & 0,3 to 0,5 mm D & 0,1 to 0,3 mm sep & 1,25% to 25% C";"Flat plate";"Experimental";"Brush parameters";;"AWBraunscheig& Directional mics";2100000;;;"0,8";;"-4 dB & -10 dB";"Best brushes: polyprop, 0,4 mm D, 8,75% C, 0,1 mm S"
"Herr2007";"Brushes";"*****";;"Polypropilene & steel & 0,3 to 0,5 mm D & 0,1 to 0,3 mm sep & 1,25% to 25% C";"Flat plate";"Experimental";"Brush parameters";;"AWBraunscheig& Directional mics";7900000;;;"2,0";;"-4 dB & -10 dB";"Best brushes: polyprop, 0,4 mm D, 8,75% C, 0,1 mm S"
"Herr2007";"Brushes";"*****";;"Polypropilene & steel & 0,3 to 0,5 mm D & 0,1 to 0,3 mm sep & 1,25% to 25% C";"NACA 0012";"Experimental";"Brush parameters";;"AWBraunscheig& Directional mics";1100000;;;"0,4";;"-4 dB & -10 dB";"Best brushes: polyprop, 0,4 mm D, 8,75% C, 0,1 mm S"
"Herr2007";"Brushes";"*****";;"Polypropilene & steel & 0,3 to 0,5 mm D & 0,1 to 0,3 mm sep & 1,25% to 25% C";"NACA 0012";"Experimental";"Brush parameters";;"AWBraunscheig& Directional mics";1600000;;;"0,4";;"-4 dB & -10 dB";"Best brushes: polyprop, 0,4 mm D, 8,75% C, 0,1 mm S"
"Winkler2008";;"***";;;"NACA 6512-63";"Numerical";"Immersed LES in RANS & CAA";"LES immersed in RANS& FW-H& Curle";;190000;;"0,0";"1,0";"0,74";;"FW-H performs well"
"Mathey2007";;"***";;;;"Numerical";"Immersed LES in RANS & CAA";"LES immersed in RANS& FW-H";;1800000;;"0,0";;;;"FW-H performs well"
"Chong2010";"Serrations";"***";"C 13% & C 7% & 4:1 & 2,35:1 & 1:1";;"NACA 0012";"Experimental";"Laminar noise";;"ISVR & Single mic";"[100000 - 600000]";;"0,0&1,4&4,2";"0,15";"0,45";;"Reduction of laminar noise, 13 better than 7% C"
"Finez2010";"Brushes";"*****";;"C 24% & C 30% & C 28% & C 7,7% & C 19%";"NACA 6512-10";"Experimental";"Brush parameters";;"LMFA & Phased array";"[173000 - 347000]";;"3,2";"0,13";"0,3";"-3 dB";"Brush L in the order of BL & Brush brakes up eddies and change l_y & Brush changes Green's function & Brush cuts down correlation lifetime & Brush slightly reduces TI & Brush disorganizes eddies"
"Gruber2010";"Serrations";"****";"20:1 & 13:1 & 10:1 & 6:1 & 3:1 & C 19% & C 12%";;"NACA 6512-10";;"Serration parameters";;;;"0,4";"[-5 - 15]";"0,16";"0,45";"-5 dB";"Best serrations, 6:1, 12% C & Worst serrations, 3:1, 6% C"
"Gruber2010";"Slits";"****";;;"NACA 6512-10";;;;;;"0,4";"[-5 - 15]";"0,16";"0,45";;"All slits increase noise"
"Gruber2010";;"****";;;;"Analytical";"Howe's theory on other TE geometries";;;;;;;;;
"Jones2010";"Serrations";"****";"1,2:1 & 2,4:1 & C 6% & C 12%";;"NACA 0012";"Numerical";;"DNS";;50000;"0,4";5;;;;"Serrations do not change directivity & Serrations do not change spanwise correlation & Serrations cause limit to max spanwise extent of turb structs & Serrations promote horseshoe vortices"
"Gruber2011";"Serrations";"*****";"C 12% & C 20% & [6,6:1 - 0,5:1] ";;"NACA 6512-10";;;;;"[200000 - 600000]";;"0 & 5";"0,15";"0,45";;"Serrations increase noise after f(BL)/U>1 & Serrations reduce noise for h/BL > 0,5 & Serrations more effective for higher h/lambda"
